sLNA1,LNASi,silenced
sLNA2,LNASi,silenced
sLNA3,LNASi,silenced
sLNAS1,LNASc,scrambled
sLNAS2,LNASc,scrambled
sLNAS3,LNASc,scrambled
s2OME1,2OMESi,silenced
s2OME2,2OMESi,silenced
s2OME3,2OMESi,silenced
s2OMES1,2OMESc,scrambled
s2OMES2,2OMESc,scrambled
s2OMES3,2OMESc,scrambled
sCE1,CEle,electro
sCE2,CEle,electro
sCE3,CEle,electro
sCSE1,CSele,electro
sCSE2,CSele,electro
sCSE3,CSele,electro

